Inf,Rec,Name,Transfer Value,Pts/Gm,Aer A/90,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
Wnt,  ,Jesús Montero,£1.9M  £5.6M,0.94,2.27,0.65,0,30%,0.36,0.11,30%,3,12.9km,0.9,52.5,47.81,12.04,8.76,5.77,0.04,0.11,0.04,0.5,1.12,1.62,10.96,1.08,2.74,0.04,29%,1.88,69%,91%,9.81,0.11,0.36,1.08,0.11
IPR,  ,Adrian Kurek,£1.9M  £5.6M,1.85,3.45,1.28,0.18,8%,0.27,0.02,8%,1,12.8km,0.64,53.39,47.78,12.19,4.93,3.78,0.18,0.62,0.13,0.46,0.73,1.88,14.76,0.75,2.98,0.13,37%,2.45,80%,89%,9.19,0.11,0.2,0.77,0.24
Wnt,  ,Tomo Knapić,£1.8M  £5.6M,1.49,2.83,0.74,0.13,26%,2.36,0.4,17%,4,13.1km,0.67,49.13,43.97,11.81,9.69,4.45,0.07,0.13,0.03,0.37,1.18,1.42,11.84,1.48,3.14,0,26%,2.33,80%,89%,9.92,0.13,0.4,1.48,0.13
,  ,Igor Artemchuk,£1.8M  £5.4M,1.47,3.24,0.99,0.04,4%,0.95,0.04,4%,1,12.0km,0.79,44.96,39.83,9.16,12.08,3.75,0.2,0.75,0.32,0.28,0.87,1.89,17.49,1.58,2.88,0,30%,2.05,83%,89%,11.21,0.04,0.36,2.49,0.28
Int,  ,Tom Smith,£1.8M  £5.4M,1.29,5.88,1.68,0.1,14%,3.54,0.62,17%,5,13.4km,1.44,31.15,25.82,13.24,17.5,1.99,0.86,2.44,0.76,0.48,0.79,1.27,12.14,1.31,2.41,0,29%,1.75,80%,83%,10.93,0,0.45,1.31,0.24
Int,  ,Alberto Djaló,£1.8M  £5.4M,1.03,6.65,2.92,0.12,41%,0.7,0.29,41%,7,12.7km,1.68,30.77,26.58,9.98,18.28,2.38,0.66,1.73,0.45,0.21,0.66,1.44,11.38,1.73,2.01,0,44%,1.27,79%,86%,9.41,0.12,0.25,2.88,0.21
Int,  ,Muhammad Davlatov,£1.8M  £5.4M,2.25,2.79,0.63,0.1,33%,1.44,0.24,17%,4,12.6km,0.91,46.13,39.92,10.74,11.22,3.27,0.53,1.88,0.96,0.39,0.96,2.17,16.18,1.16,3.42,0,22%,2.07,78%,87%,11.17,0.14,0.14,1.16,0.14
Inj,  ,Kabelo Mokoena,£1.8M  £5.4M,1.66,3.55,1.31,0.04,8%,1.24,0.12,9%,2,11.8km,0.73,44.94,38.65,9.34,12.59,3.36,0.39,1,0.27,0.39,1.12,1.93,16.83,1.35,3.24,0,37%,2.47,86%,86%,11.16,0,0.23,1.39,0.15
Int,  ,Hrvoje Čupić,£1.7M  £5.2M,1,4.75,2.84,0.51,24%,0.8,0.19,24%,6,12.8km,0.7,43.18,38.21,11.73,14.34,2.96,0.19,0.54,0.22,0.35,0.92,1.85,13.48,0.89,2.77,0,60%,2.01,72%,88%,11.54,0.1,0.16,0.89,
,  ,Yoann Lesueur,£1.7M  £5M,1.46,3.07,1.24,0.12,21%,0.87,0.19,21%,6,12.3km,1.02,45.93,40.06,10.56,16.24,2.98,0.19,0.96,0.31,0.4,0.99,1.93,12.08,1.09,3.07,0,40%,1.71,73%,87%,10.62,0,0.25,1.09,0.12
Wnt,  ,Azamat Guteev,£1.7M  £5M,1.28,3.29,1.61,0.16,16%,6.28,0.84,13%,1,13.1km,0.68,51.62,45.34,12.12,5.32,4.87,0.16,0.42,0.13,0.64,0.87,1.45,15.08,1.03,2.32,0.16,49%,1.8,70%,88%,9.34,0.03,0.39,1.03,0.23
,  ,Gianni Benita,£1.7M  £5M,1,2.8,0.97,0.06,60%,0.31,0.19,60%,6,12.8km,0.5,50.7,44.8,10.87,6.44,4.93,0.13,0.31,0.03,0.38,1.04,1.6,13.16,1.16,2.67,0.06,35%,1.66,72%,88%,9.3,0.09,0.38,1.16,0.16
Trn,  ,Carmelo Di Silvio,£1.7M,0.96,4.18,2.25,0.36,25%,1.04,0.2,19%,5,12.6km,0.96,44.08,38.65,10.65,13.18,3.46,0.28,0.84,0.4,0.56,0.72,1.77,12.62,1.41,2.53,0,54%,1.61,77%,88%,10.17,0,0.2,2.53,0.16
,  ,Joel Sousa,£1.6M  £4.8M,1.14,3.66,1.26,0.22,20%,0.82,0.16,20%,3,11.8km,0.76,45.57,38.1,9.44,9.82,3.55,0.33,0.55,0.11,0.38,1.31,2.13,12.72,1.58,2.73,0,34%,1.86,77%,84%,10.53,0,0.55,1.58,0.55
Wnt,  ,Guilherme,£1.6M  £4.7M,1.63,2.68,0.44,0.06,31%,0.85,0.26,31%,9,12.9km,1.11,52.6,45.71,12.34,13.65,3.85,0.23,0.9,0.23,0.32,0.38,1.72,11.64,1.63,2.95,0,16%,1.87,79%,87%,9.98,0,0.23,1.63,0.06
,  ,Jérémy Krieger,£1.6M  £4.7M,1.09,4.99,2.28,0.36,,2.6,0.21,8%,0,12.8km,0.64,50.63,43.86,10.91,5.28,4.64,0.14,0.43,0.14,0.5,1,1.53,14.37,1.21,2.57,0.14,46%,1.89,79%,87%,10.13,0.04,0.71,2.14,0.18
,  ,Edvard Pettersen,£1.5M  £4.6M,1.63,4.64,2.59,0.54,7%,1.81,0.1,6%,2,12.1km,0.74,43.47,38.7,10.52,12.3,3.96,0.44,1.31,0.6,0.24,1.04,1.75,13.57,1.41,3.12,0,56%,2.08,77%,89%,11.12,0.03,0.57,1.41,0.27
,  ,Fares Dornier,£1.5M  £4.6M,1.38,4.65,2.12,0.23,5%,0.83,0.05,6%,1,11.7km,0.97,42.05,37.26,9.58,10.18,3.36,0.41,0.92,0.14,0.32,0.69,1.75,11.42,0.92,3.13,0,46%,2.26,82%,89%,11.51,0,0.05,0.92,0.05
Int,  ,Matthew Babangida,£1.5M  £4.6M,1.44,2.73,0.88,0.07,9%,0.74,0.07,10%,2,12.6km,0.57,53.12,49.05,11.22,8.28,5.1,0.11,0.32,0.07,0.14,0.53,1.59,14.26,1.59,3.22,0.07,32%,2.8,85%,92%,10.41,0.11,0.53,1.59,0.28
,  ,Denys Kramarenko,£1.5M  £4.5M,1.35,3.72,2.17,0.18,14%,0.31,0.04,14%,1,12.5km,0.67,48.81,43.94,10.86,7.45,3.55,0.18,0.58,0.13,0.49,0.84,1.51,12.72,0.75,2.44,0,58%,1.77,82%,90%,10.24,0,0.13,0.75,0.18
Wnt,  ,Luka Kralj,£1.5M  £4.4M,1.57,3.96,1.59,0.21,19%,1.11,0.21,19%,4,12.4km,0.81,46.39,39.95,10.4,9.53,4.41,0.09,0.36,0.03,0.27,0.81,1.47,12.65,1.32,3,0.09,40%,2.1,80%,86%,9.68,0,0.57,1.32,0.24
,  ,Marko Bašić,£1.5M  £4.4M,1.38,3.14,1.23,0.05,20%,0.26,0.05,20%,1,12.5km,0.57,48.7,43.71,11.01,7.3,4.68,0.21,0.51,0.26,0.77,1.18,1.65,11.21,1.18,2.37,0,39%,2.11,91%,90%,9.46,0.1,0.51,1.18,0.26
,  ,Daniel Barrientos,£1.4M  £4.3M,1.17,3.03,0.78,0.12,,1.13,0.04,3%,0,12.4km,0.97,46.32,40.84,10.42,17.27,3.11,0.23,0.58,0.23,0.35,0.66,1.67,10.85,1.13,2.92,0,26%,1.98,81%,88%,10.93,0.12,0.47,1.13,0.12
,  ,Zekir Bahça,£1.4M  £4.3M,1.06,3.33,1.08,0.13,9%,2.03,0.13,6%,3,11.9km,0.57,47.06,40.85,9.67,12.26,3.9,0.16,0.44,0.13,0.38,0.82,1.62,10.39,1.43,2.63,0.03,32%,1.81,76%,87%,10.08,0.1,0.44,1.49,0.1
,  ,Ilya Krasnov,£1.4M  £4.3M,1.04,3.39,0.82,0,26%,0.69,0.18,27%,4,12.3km,0.92,45.11,37.93,10.02,17.16,3.48,0.23,0.78,0.32,0.87,1.14,2.01,12.35,0.96,2.7,0,24%,1.56,77%,84%,10.11,0.05,0.46,0.96,0.32
Wnt,  ,Henrik Mölder,£1.4M  £4.3M,1.36,4.58,2.71,0.28,28%,0.65,0.19,29%,2,13.0km,0.93,46.07,40.65,12.24,7.66,4.02,0.19,1.4,0.37,0.47,1.03,1.21,18.5,1.21,2.9,0.09,59%,2.15,74%,88%,10.28,0,0.75,1.21,0.19
,  ,Tamerlan Pershin,£1.4M  £4.3M,1.75,3.31,0.5,0.03,,0.72,0,0%,0,12.0km,1.12,45.55,40.74,10.11,12.51,3.12,0.19,0.75,0.22,0.41,0.59,2.12,15.16,0.94,2.99,0,15%,2,80%,89%,11.48,0.03,0.22,0.94,0.19
,  ,Luis Miguel Marín,£1.4M  £4.2M,1.18,2.88,1.14,0,18%,0.87,0.16,18%,4,11.9km,1.03,43.84,38.11,10.26,12.23,4.34,0.12,0.51,0.24,0.43,0.83,1.97,14.01,1.22,2.56,0.08,40%,1.74,76%,87%,11.36,0.08,0.39,1.26,0.12
,  ,Petar Stupić,£1.4M  £4.1M,1.48,3.32,1.63,0.3,,0.37,0,0%,0,12.0km,0.27,48.89,43.71,9.85,6.87,4.67,0.1,0.37,0.07,0.34,1.05,1.49,16.05,1.39,3.12,0,49%,2.34,87%,89%,9.18,0.17,0.47,1.39,0.2
Wnt,  ,Tim Kern,£1.4M  £4.1M,0.86,5.97,2.22,0.13,9%,0.91,0.09,10%,2,13.0km,0.83,31.36,26.7,11.76,16.68,2.27,0.91,1.87,0.74,0.22,0.83,1.26,12.59,1.39,2.4,0,37%,1.44,80%,85%,10.32,0.09,0.39,1.39,
Inj,  ,Laurin Busch,£1.4M  £4.1M,0.96,3.92,1.69,0.2,40%,0.78,0.31,40%,8,11.7km,0.47,44.53,38.49,9.22,12.91,3.37,0.27,0.71,0.24,0.24,0.98,1.65,14.24,1.22,2.86,0,43%,2.24,77%,86%,11.06,0.08,0.35,1.22,0.24
Int,  ,Adam Obajdin,£1.4M  £4.1M,1.88,4.28,2.19,0.34,16%,0.41,0.07,17%,2,12.5km,0.41,51.47,45.34,10.54,6.88,4.96,0,0.1,0.03,0.55,1.2,1.64,12.42,1.33,2.05,0.03,51%,1.44,76%,88%,9.75,0.07,0.34,1.33,0.27
Wnt,  ,Cosmin Nechifor,£1.3M  £4M,1.09,4.08,2.02,0.17,10%,2.12,0.31,15%,3,12.1km,1.25,44.55,38.14,9.72,14.45,3.62,0.56,1.5,0.45,0.38,0.66,1.57,12.61,1.5,2.93,0,50%,1.64,71%,86%,11.25,0.1,0.31,1.57,0.21
Wnt,  ,Eugen Tudorache,£1.3M  £4M,1.09,3.93,1.49,0.08,24%,2.06,0.34,17%,7,12.3km,1.18,42.08,36.63,10.3,12.28,3.43,0.08,0.5,0.11,0.38,0.61,1.95,10.72,1.34,3.01,0,38%,2.06,79%,87%,10.53,0.08,0.23,2.63,0.11
Wnt,  ,Hugo Cortinhas,£1.3M  £3.9M,1.19,4.93,3.27,0.48,28%,0.38,0.11,29%,2,13.1km,0.7,53.76,49.85,12.81,4.34,5.47,0.16,0.48,0.21,0.27,0.96,1.23,15.28,1.39,2.73,0,66%,1.93,69%,93%,9.38,0.16,0.8,1.39,0.27
Int,  ,Hamza Hasanović,£1.3M  £3.9M,1.32,6.13,1.86,0.19,20%,0.95,0.19,20%,6,12.9km,0.92,30.53,25.72,11.69,19.88,1.67,0.6,1.71,0.79,0.25,0.7,1.26,10.87,0.88,2.65,0,30%,1.74,81%,84%,10.46,0.03,0.32,0.88,0.13
,  ,Alessandro Giordani,£1.3M  £3.9M,1.16,2.75,0.64,0.23,33%,1.99,0.18,9%,2,13.0km,0.59,49.95,43.62,10.77,5.15,4.1,0.06,0.64,0.12,0.7,1.41,1.41,15.28,1.17,2.58,0.29,23%,1.7,78%,87%,8.96,0.12,0.29,1.82,0.23
,  ,Juhani Pellikka,£1.3M  £3.9M,1.27,2.79,0.6,0,25%,0.4,0.1,25%,1,11.8km,1.59,45.25,37.08,10.47,13.85,2.69,0.4,1,0.3,0.7,0.5,2.09,10.86,0.8,2.19,0,21%,1.2,75%,82%,11.56,0,0.5,0.8,0.3
,  ,Michael Golding,£1.3M  £3.8M,1.2,3.41,1.44,0.07,18%,8.1,1.41,17%,2,12.7km,1.02,51.49,45.72,10.46,7.21,5.51,0.16,0.56,0.16,0.56,0.79,1.67,12.09,1.15,2.72,0.03,42%,2,84%,89%,9.5,0.03,0.72,2.88,0.33
,  ,Samuel Hermes,£1.3M  £3.8M,1.83,4.59,2.03,0.65,11%,1.17,0.13,11%,1,12.5km,0.65,50.52,44.63,10.35,4.55,5.54,0.13,0.39,0.09,0.3,0.87,1.39,15.76,1.69,3.59,0.13,44%,2.47,76%,88%,9.26,0.13,0.52,1.69,0.22
Wnt,  ,Everton Pereira,£1.2M  £3.7M,0.8,3.83,2.14,0.34,11%,1.09,0.13,12%,3,12.8km,1.05,44.62,38.73,9.97,13.92,3.74,0.25,0.93,0.42,0.38,0.63,1.93,10.6,1.35,2.86,0,56%,1.89,78%,87%,10.77,0.08,0.21,1.35,0.04
,  ,Stefan Muharemovic,£1.2M  £3.6M,1.03,3.46,1.83,0.08,9%,0.87,0.08,10%,3,12.1km,0.62,44.61,38.2,10.65,14.38,3.46,0.2,0.84,0.28,0.25,0.79,1.8,11.97,1.26,2.67,0,53%,1.85,84%,86%,11.35,0.08,0.34,1.26,0.08
,  ,Ştefan Ursu,£1.2M  £3.6M,1.46,3.8,2.17,0.22,6%,0.81,0.05,7%,2,12.2km,0.9,43.62,38.43,11.21,12.43,3.34,0.27,0.79,0.24,0.35,0.87,1.79,14.44,1.3,2.93,0,57%,2.2,83%,88%,11.62,0.11,0.08,1.3,0.03
,  ,Anton Soldatenko,£1.2M  £3.5M,1.15,3.71,0.77,0.11,,0.7,0,0%,0,12.8km,0.66,43.99,38.03,11.11,11.62,3.35,0.11,0.26,0.11,0.44,0.88,1.84,15.3,1.36,2.68,0.04,21%,1.91,78%,86%,10.96,0.07,0.11,1.36,0.11
,  ,Noah Nsoki,£1.1M  £3.4M,1.33,3.65,1.03,0.07,30%,1.19,0.36,31%,11,12.0km,1,42.89,37.62,9.39,12.04,3.48,0.23,0.83,0.3,0.27,0.5,1.39,13.14,1.43,2.75,0,28%,1.79,77%,88%,10.88,0.03,0.17,1.43,0.2
Inj,  ,Lewis Barron,£1.1M  £3.4M,2.13,3.11,0.89,0.07,16%,0.89,0.15,17%,2,12.6km,0.89,45,39.08,10.66,10.07,2.89,0.59,1.11,0.15,0.44,0.89,1.7,12.88,0.81,3.48,0,29%,2.66,88%,87%,10.88,0,0.67,0.81,0.37
Inj,  ,Nicholas Asamoah,£1.1M  £3.3M,1.5,4.38,2.42,0.23,50%,0.09,0.05,50%,1,13.2km,0.7,50.8,43.35,12.9,5.45,3.86,0.09,0.28,0.05,0.7,0.7,1.54,14.25,0.61,2.84,0.19,55%,2.1,76%,85%,9.41,0.14,0.28,0.61,0.09
Int,  ,Meir Alon,£1.1M  £3.3M,1.57,5.28,1.89,0.12,16%,5.49,0.78,14%,4,12.7km,1.05,36.71,32.03,10.56,11.82,3.12,0.39,1.38,0.36,0.33,0.9,1.62,15.89,1.5,2.43,0,36%,1.74,82%,87%,10.14,0.06,0.21,1.56,0.24
Inj,  ,Emerson Fernandes,£1.1M  £3.2M,1.27,3.66,1.41,0.37,14%,0.37,0.05,14%,1,12.8km,0.47,46.75,41.94,11.44,11.07,3.13,0,0.37,0.21,0.57,1.15,1.46,12.17,0.68,2.72,0.16,39%,1.88,77%,90%,9.61,0.1,0.37,0.68,
,  ,Charlie Sullivan,£1.1M  £3.2M,1.89,2.6,0.71,0.03,,2.6,0.37,14%,0,13.1km,0.53,50.57,45.56,11.77,5.54,4.52,0.12,0.4,0.09,0.59,1.08,1.73,13.94,1.18,2.17,0.03,27%,1.42,75%,90%,9.45,0.19,0.37,1.18,0.28
Unh,  ,Kenneth Alabi,£1.1M  £3.2M,1.96,4.39,1.76,0.23,31%,6.35,1.24,20%,11,12.1km,0.69,45.19,39.44,9.62,11.61,3.35,0.23,0.69,0.32,0.32,1.04,1.62,16.37,1.44,2.48,0,40%,1.82,89%,87%,10.65,0.06,0.29,1.53,0.4
,  ,Emili Zamora,£1M  £3.1M,1.17,4.65,2.3,0.46,16%,0.69,0.11,17%,2,12.7km,0.98,41.33,37.48,11.48,12.91,3.9,0.11,1.09,0.34,0.52,1.21,1.95,15.1,1.03,3.04,0,49%,2.76,98%,91%,11.42,0,0.23,1.03,0.06
,  ,Kristoffer Vestmoen,£1M  £3.1M,1.19,2.85,0.62,0.12,62%,0.31,0.19,63%,5,12.3km,0.54,51.43,45.69,10.29,6.7,5.24,0.15,0.58,0.15,0.42,0.96,1.66,13.56,1.62,3.08,0.27,22%,1.89,71%,89%,10.21,0.08,0.39,1.62,0.12
Wnt,  ,Gonçalo Marchão,£1M  £3.1M,0.71,3.66,0.51,0.06,17%,1.09,0.19,18%,3,12.4km,1.03,43.46,37.49,10.21,12.9,3.15,0.13,0.77,0.32,0.45,0.64,1.99,9.31,1.03,3.02,0,14%,2.05,89%,86%,9.82,0,0.26,1.03,0.13
Int,  ,Tom Abrahamsson,£1M  £3M,1.46,3.93,1.65,0.09,,2.47,0.18,7%,0,11.7km,0.55,43.08,37.77,9.79,9.33,3.11,0.18,0.37,0.18,0.46,0.91,1.46,12.26,1.37,3.57,0,42%,2.93,86%,88%,11.71,0,0.09,2.47,0.18
,  ,Dušan Vargec,£1M  £3M,1.35,2.96,0.91,0.16,21%,0.75,0.16,21%,4,12.9km,0.87,46.54,39.78,10.27,7.9,3.75,0.16,0.36,0,0.32,0.87,1.66,8.93,1.07,2.92,0.16,31%,2.13,89%,85%,9.88,0,0.2,1.07,0.08
,  ,Valentin Dotsev,£950K  £2.9M,1.79,4.22,2.14,0.19,13%,0.7,0.1,14%,3,11.6km,1.09,42.09,36.59,9.56,12.62,3.1,0.1,0.61,0.26,0.51,0.83,2.27,16.78,0.96,3.04,0,51%,2.49,82%,87%,11.63,0.03,0.45,0.96,0.32
,  ,Kiril Krstevski,£950K  £2.8M,1.52,3.95,0.7,0.05,7%,0.65,0.05,7%,1,13.0km,1.49,31.39,26.7,10.5,18.16,2.09,0.65,2.04,0.79,0.23,0.6,1.86,10.22,1.25,2.32,0,18%,1.53,83%,85%,8.68,0,0.23,1.35,0.09
Wnt,  ,Alessandro Ciardi,£950K,1.7,3.22,0.96,0,,0.8,0.03,4%,0,12.2km,1.02,43.85,38.44,9.27,14.46,3.6,0.1,0.45,0.22,0.38,0.92,1.53,13.03,1.24,3.03,0,30%,2.13,79%,88%,10.67,0.13,0.54,1.24,0.16
,  ,Alexey Nababkin,£850K  £2.6M,1.63,3.55,1.51,0.16,17%,0.95,0.16,17%,5,12.5km,1.08,42.4,37.14,10.65,13.84,3.62,0.1,0.49,0.26,0.26,0.62,1.87,12.03,1.35,2.7,0,43%,1.81,71%,88%,10.98,0.03,0.03,1.35,0.13
,  ,Christoph Thalhammer,£850K  £2.5M,1.82,4.41,1.78,0.4,25%,0.79,0.2,25%,6,12.7km,0.69,43.58,38.28,11.29,12.38,3.19,0.23,0.59,0.26,0.46,0.56,1.65,12.51,0.99,2.7,0,40%,1.94,84%,88%,11.65,0.03,0.1,1.05,0.07
,  ,Rúben Cunha,£850K  £2.5M,1.57,5.75,1.87,0.11,12%,0.91,0.11,13%,3,12.7km,1.52,32.3,27.23,11.16,14.85,2.06,0.88,2.7,0.76,0.27,0.3,1.18,12.87,1.22,2.29,0,32%,1.14,70%,84%,10.02,0,0.69,1.22,0.38
,  ,Adam Olsson,£850K  £2.5M,1.47,3.62,1.39,0.04,4%,0.93,0.04,5%,1,13.0km,1.22,40.84,35.62,12.49,13.37,3.49,0.38,1.35,0.46,0.46,0.84,1.35,16.57,1.18,2.9,0,38%,1.56,67%,87%,11.78,0.08,0.38,1.18,0.08
,  ,Vladyslav Koval,£850K  £2.5M,1.1,3.99,1.25,0.3,3%,0.96,0.04,4%,1,12.8km,0.22,51.29,45.2,10.81,8.01,4.91,0,0.44,0.15,0.15,1.59,1.07,13.36,1.51,3.03,0.44,31%,2.29,73%,88%,9.11,0.04,0.18,1.51,0.04
,  ,José Manuel,£850K  £2.5M,1,4.68,2.19,0.62,28%,0.55,0.16,29%,2,12.4km,0.55,51.28,44.65,10.93,6.24,4.84,0.16,0.39,0,0.39,1.48,1.33,11.32,1.41,3.2,0.08,47%,1.72,61%,87%,10.62,0,0.62,1.41,0.16
Inj,  ,David Nuc,£850K,0.75,4.95,2.68,0.85,9%,1.25,0.11,9%,2,12.7km,0.51,44.86,38.77,10.87,16.62,3.42,0.17,0.63,0.28,0.4,0.57,0.8,12.13,1.48,3.47,0,54%,1.94,69%,86%,10.87,0.06,0.4,1.82,0.17
Wnt,  ,Auguste Vervoort,£800K  £2.5M,0.46,3.48,1.19,0.14,22%,0.63,0.14,22%,4,12.5km,0.7,49.57,43.91,10.5,9.06,4.74,0.04,0.11,0,0.49,1.12,1.65,11.14,1.16,2.88,0.14,34%,1.79,65%,89%,10.05,0.07,0.28,1.16,0.14
,  ,Zafer Çebi,£800K  £2.4M,1.57,3.78,0.95,0.14,18%,2.19,0.37,17%,6,12.1km,0.72,43.95,38.24,9.25,12.65,3.75,0.09,0.37,0.14,0.26,0.72,1.93,12.74,1.44,2.85,0,25%,1.9,80%,87%,10.89,0.06,0.23,1.47,0.2
,  ,Dan Mikal Brink,£800K  £2.4M,1.27,4.54,2.2,0.27,8%,0.54,0.04,8%,1,12.1km,1.3,42.93,38.21,9.49,14.43,3.1,0.27,0.54,0.22,0.31,0.63,2.29,13.13,1.53,2.79,0,49%,1.84,87%,89%,10.52,0.09,0.22,1.53,0.31
,  ,Pierre Simonnet,£800K  £2.4M,1.46,5.43,2.99,0.3,12%,1.23,0.15,12%,6,12.3km,0.68,47.68,41.49,13.71,9.66,4.23,0.05,0.2,0,0.68,1.26,2.24,13.66,0.96,2.79,0.33,55%,2.69,82%,87%,9.44,0.13,0.15,0.96,0.03
Wnt,  ,Fabio Lombardo,£800K  £2.4M,0.47,2.58,0.65,0.03,10%,0.29,0.03,10%,1,12.5km,0.85,47.86,42.43,10.74,10.53,3.73,0.21,0.41,0.21,0.56,0.94,1.56,11.24,0.94,2.67,0.09,25%,1.76,76%,89%,9.86,0.12,0.21,0.94,0.09
,  ,David Insa,£800K  £2.4M,1.28,3.61,0.86,0,7%,0.89,0.07,7%,2,12.6km,0.99,42.35,36.89,9.93,16.46,3.28,0.03,0.33,0.07,0.33,0.63,1.66,10.93,1.29,2.72,0,24%,2.05,90%,87%,11.16,0.1,0.36,1.29,0.2
Wnt,  ,Eugenio Sciapi,£800K  £2.4M,0.68,4.66,1.86,0.15,16%,0.6,0.1,17%,2,12.5km,1.5,36.35,30.84,10.93,13.84,2.56,0.4,1.2,0.35,0.5,0.85,1.35,11.88,1.45,2.91,0,40%,1.91,81%,85%,10.88,0,0.3,1.45,0.15
Int,  ,Yitav Hen,£800K  £2.3M,1.28,3.48,1.13,0.14,31%,0.61,0.19,32%,7,12.7km,0.91,41.67,35.9,11.79,10.19,3.01,0.47,1.05,0.44,0.61,1.08,1.93,14.19,0.91,3.15,0,33%,2.18,68%,86%,11.27,0.06,0.17,1.19,0.14
,  ,Renato Mustafaraj,£800K  £2.3M,0.93,3,1.05,0.07,35%,3.07,0.54,18%,10,12.5km,0.94,45.02,39.45,10.04,12.75,4.19,0.22,0.87,0.36,0.22,0.76,1.66,13.91,1.7,2.78,0,35%,1.84,78%,88%,10.98,0.04,0.51,1.7,0.18
Int,  ,Mario Dorgeles,£750K  £2.3M,0.61,4.1,1.52,0.46,17%,0.72,0.13,18%,3,12.0km,0.63,43.84,38.6,10.6,10.39,4.1,0.08,0.34,0.04,0.46,1.01,1.86,12.59,1.65,2.91,0.13,37%,2.32,75%,88%,10.85,0.21,0.46,1.9,0.21
Wnt,  ,Marc Sáiz,£700K  £2.1M,1.59,3.95,1.94,0.13,16%,0.4,0.07,17%,1,12.7km,0.67,48.79,44.23,10.19,6.57,4.96,0.07,0.47,0.2,0.27,0.74,1.54,9.85,0.8,2.21,0,49%,1.68,81%,91%,9.65,0.07,0.34,0.8,
,  ,Chancel Kitenge,£700K  £2.1M,1.42,3.92,1.07,0,20%,2.79,0.44,16%,4,12.6km,1.22,38.72,32.99,11,17.42,2.38,0.44,1.88,0.69,0.53,0.78,1.63,12.12,1.1,2.29,0,27%,1.25,78%,85%,10.21,0.06,0.44,2.13,0.03
Ret,  ,Kevin Zeroli,£700K  £2M,1.27,3.96,1.96,0.33,,0.21,0,0%,0,12.9km,1.08,55.4,50.36,10.8,7.84,6.04,0.17,0.38,0,0.54,0.83,1.58,13.26,1,2.67,0.13,49%,2.25,82%,91%,10,0.08,0.58,1,0.17
,  ,Jeffrey Kuipers,£700K  £2M,0.8,4.04,1.6,0.19,11%,0.85,0.09,11%,1,12.2km,0.75,43.17,38.09,9.78,14.39,4.14,0.28,0.75,0.09,0.47,1.22,2.16,8.84,1.6,2.73,0,40%,1.6,81%,88%,10.82,0.09,0.28,1.6,0.19
,  ,Matej Kralovic,£650K  £2M,0.6,2.91,0.4,0.08,16%,0.48,0.08,17%,1,12.8km,1.05,44.11,37.89,10.66,12.6,2.91,0,,,0.32,1.05,2.1,11.96,1.62,2.59,0,14%,1.78,76%,86%,11.15,0.16,0.08,1.62,0.16
,  ,Fırat Yücel,£650K  £1.9M,1.12,3.51,1.23,0.28,42%,0.44,0.19,43%,6,12.4km,0.41,49.24,43.51,10.72,6.55,4.46,0.06,0.19,0.03,0.35,0.98,1.36,10.56,1.2,2.43,0,35%,1.68,76%,88%,9.49,0.06,0.25,1.2,0.19
,  ,Petrică Mangu,£650K  £1.9M,1.29,6.09,1.35,0,16%,0.62,0.1,17%,3,13.1km,1.25,31.95,27.73,10.56,16.75,1.8,0.87,2.01,0.62,0.38,0.62,1.7,11.46,1.21,2.53,0,22%,1.56,83%,87%,10.7,0.03,0.31,1.21,0.21
Int,  ,Naor Sinay,£650K  £1.9M,1.09,4.45,1.21,0,20%,1.13,0.26,23%,5,12.9km,1.06,37.35,32.26,11.53,15.38,2.41,0.41,1.21,0.45,0.26,0.53,1.47,14.47,0.98,2.56,0,27%,1.7,82%,86%,10.25,0.04,0.3,0.98,
Inj,  ,Mario Babec,£650K  £1.9M,1.33,4.06,2.29,0.52,18%,0.41,0.07,18%,2,13.2km,0.59,49.74,44.83,12.09,6.97,4.24,0.11,0.44,0,0.52,0.96,1.73,13.35,1.14,2.95,0.11,56%,2.4,79%,90%,10.73,0.26,0.22,1.99,0.11
Wnt,  ,Serhat Civelek,£650K,1.3,6.19,2.83,0,7%,1.36,0.1,8%,1,13.2km,1.15,31.89,25.8,14.37,17.31,1.78,0.42,2.2,0.73,0.1,0.63,1.15,10.17,1.68,3.67,0,46%,1.47,64%,81%,10.8,0,0.21,1.68,0.21
Wnt,  ,Karlo Igor Rihtar,£600K  £1.8M,0.81,2.59,0.89,0.09,,0.37,0,0%,0,13.5km,0.67,50.63,44.77,12.42,8.97,5.04,0.06,0.43,0.09,0.4,1.01,1.83,11.72,1.25,2.9,0,34%,1.83,73%,88%,9.8,0.09,0.4,1.25,0.15
