Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,Aer A/90,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
Ret,  ,Pascal Delage,£2.5K  £7K,0.9,82,Major League Soccer,1.52,1.19,0.19,,0,0,,0,1.4km,,24.76,18.76,0.71,0.67,0.38,0,0.38,0.14,0.05,0.14,0.14,1.62,0,0.19,0.1,78%,1.86,95%,76%,0.52,0,,,
,  ,Steffan Jacobsen,£7K  £20K,1,82,Faroese Premier League,,,0,,0,0,,0,0.0km,,20,13.89,0,0,0,0,0.14,0.03,,0,,0,0,0,0,,1.67,97%,69%,0,0,,,0.14
,  ,Gilles Pasteur,£45K  £130K,1,82,French National 2  C,,,0,,0,0,,0,0.0km,,20,14.2,0,0,0,0,0.3,0,,0,,0,0,0,0,,1.6,89%,71%,0,0,,,0.1
Loa,  ,Dan Lukáš,£45K  £140K,1,82,,,,0,,0,0,,0,0.0km,,20,13.23,0,0,0,0,0.46,0,,0,,0,0,0,0,,1.69,100%,66%,0,0,,,
,  ,Ricardo Pauleta,£0,1.08,82,Portugal Championship,1.08,1,0,,0,0,,0,1.5km,,25.08,18.85,0.77,0.38,0.85,0,0.38,0.15,0.23,0.38,0.23,2.69,0.15,0,0.23,93%,1.23,94%,75%,0.15,0,,0.15,0.08
,  ,Jerrel Helstone,Not for Sale,1,82,SVB Eerste Divisie,,,0,,0,0,,0,0.0km,,20,13.8,0,0,0,0,0.13,0,,0,,0,0,0,0,,1.73,100%,69%,0,0,,,0.07
,  ,Altin Spahic,£20K  £60K,1,82,Federation of BiH First League,,,0,,0,0,,0,0.0km,,20,14.06,0,0,0,0,0.24,0,,0,,0,0,0,0,,1.53,96%,70%,0,0,,,0.24
,  ,Avivi Kostika,£0,1.75,82,Israeli A League North Division,9.87,7.18,1.26,,0,0,,0,10.5km,0.18,50.7,44.78,4.49,2.06,4.58,0.54,1.88,0.54,0.36,1.26,0.9,25.57,0.36,1.17,1.44,73%,1.17,76%,88%,2.69,0.27,,0.36,0.18
,  ,Paweł Woźniak,£170K  £500K,0.67,82,Polish First Division,9.32,7.32,0.89,,0.15,0,0%,0,10.4km,0.07,51.18,42.74,4.36,3.18,3.99,0,,,0.74,1.7,1.33,12.35,0.44,1.04,0.44,79%,0.89,80%,84%,2.74,0.3,,0.44,
,  ,Can Salgınoğlu,£10K  £30K,1.24,82,Optibet Virsliga,9.38,6.82,0.96,50%,0.12,0.06,50%,2,10.7km,0.03,50.45,44.8,4.28,3.41,3.47,0.23,0.61,0.12,0.67,1.43,1.49,14.48,0.35,0.9,0.61,73%,0.84,85%,89%,2.8,0.2,0.09,0.35,
,  ,Benjamín Nnang,£2K  £6K,1,82,Premier Division  Continental,,,0,,0,0,,0,0.0km,,20,14.38,0,0,0,0,0.46,0,,0,,0,0,0,0,,1.85,96%,72%,0,0,,,
,  ,Radovan Nikolić,£500  £1.5K,1.47,82,Russian First Division,8.53,5.17,1.63,,0.11,0,0%,0,11.0km,0.11,57.94,48.85,3.09,3.03,3.87,0,0.17,0,0.28,1.35,0.79,16.45,0.39,1.18,1.12,61%,1.01,82%,84%,3.48,0.17,0.06,0.39,0.06
,  ,Ramón,£0,1,82,Brazilian National First Division,,,0,,0,0,,0,0.0km,,20,13.54,0,0,0,0,0.15,0,,0,,0,0,0,0,,1.69,96%,68%,0,0,,,
,  ,János Tóth,£1.5K  £4.5K,1.04,82,Norwegian Third Division Group 4,0.84,0.68,0.08,,0,0,,0,0.9km,,22.4,16.24,0.36,0.28,0.2,0,0.48,0.08,0.04,0,0.16,1.76,0,0.04,0.08,81%,1.56,95%,73%,0.2,0,,,0.08
,  ,Stefano De Marco,£70K  £220K,1,82,Italian Serie B,8.66,7.13,0.85,,0,0,,0,10.1km,,55.02,48.14,5.43,5.77,2.89,0.08,0.59,0.17,0.51,0.93,1.36,9.85,0.17,0.76,0.59,82%,0.59,64%,88%,3.06,0.08,,0.17,
,  ,Michael Jacobs,£14K  £40K,1.11,82,Dutch Tweede Divisie,0.64,0.53,0.06,,0,0,,0,0.7km,,22.88,15.64,0.06,0.12,0.18,0,0.47,0.12,,0.12,0.06,1.11,0,0.12,0.06,82%,1.63,97%,68%,0.23,0,,,0.06
Wnt,  ,Andrey Filatov,£12K  £35K,0.94,82,Belarusian Highest League,8.52,6.63,0.69,100%,0.06,0.06,100%,1,11.1km,0.06,51.46,42.37,5.26,3.83,3.77,0.11,0.63,0.11,0.74,1.26,1.43,10.92,0.46,0.97,0.4,78%,0.86,75%,82%,2.46,0.23,,0.46,
Wnt,  ,Emil Lehtinen,£10K  £30K,1.62,82,Finnish First Division,7.46,4.71,0.96,33%,0.13,0.04,33%,1,8.5km,0.04,45.52,35,3.54,2.05,2.53,0.17,0.52,0.04,0.48,1.35,1.09,15.63,0.26,1.18,0.48,63%,1.22,85%,77%,3.01,0.31,0.09,0.26,0.04
,  ,Aviv Zuzut,£35K  £100K,1,82,Spanish Federation Second Group 2,,,0,,0,0,,0,0.0km,,20,13.91,0,0,0,0,0.36,0.09,,0,,0,0,0,0,,1.91,100%,70%,0,0,,,
,  ,Hassan El Idrissi,£9K  £28K,1,82,Botola Pro 1,,,0,,0,0,,0,0.0km,,20,14,0,0,0,0,1.17,0.42,,0,,0,0,0,0,,1.75,100%,70%,0,0,,,0.17
,  ,Abdul Yohou,£210K  £650K,1.55,82,French National 2  B,4.36,3.27,0.18,,0.18,0,0%,0,5.6km,0.09,37.73,30.36,3,2.45,1.55,0,0.18,0.09,0.18,0.27,0.91,9.55,0.09,0.36,0.36,75%,0.82,100%,80%,1.27,0.18,0.09,0.09,0.09
,  ,Nando Rosalia,£3.5K  £10K,1,82,Kampionato Liga MCB  Promé Division,,,0,,0,0,,0,0.0km,,20,13.8,0,0,0,0,0.27,0.07,,0,,0,0,0,0,,1.4,100%,69%,0,0,,,
,  ,Alexandru Sava,£24K  £70K,1.42,82,Romanian Third League Group 7,2.92,2.5,0.42,,0.08,0,0%,0,3.9km,,30.25,22.83,2,0.83,1.17,0.25,0.67,0.17,0.17,0.17,0.83,7.58,0,0.25,0.17,86%,1.42,94%,75%,1.08,0.08,,,
,  ,Steffen Caspe,£0,1,82,Austrian Regional League Tyrol,,,0,,0,0,,0,0.0km,,20,14,0,0,0,0,0.33,0.06,,0,,0,0,0,0,,1.67,100%,70%,0,0,,,0.06
,  ,Eliott Etchecopar,£65K  £190K,2.82,82,Swiss First League Classic Group 1,8.45,4.55,0.64,,0.09,0,0%,0,10.9km,,50.36,42.45,4.82,2.91,3.73,0.27,0.82,0.09,0.45,1.82,1.55,27.73,0.18,0.91,0.45,54%,0.82,90%,84%,2.91,0.09,,0.18,
Inj,  ,Alexey Novitskiy,£3K  £9K,0.92,82,Belarusian Highest League,9.82,7.02,1.32,,0.18,0,0%,0,11.2km,,51.93,42.89,4.74,4.74,4.04,0.09,0.53,0,0.18,1.84,1.05,11.67,0.35,1.67,0.18,71%,1.67,95%,83%,3.77,0.44,,0.35,
Lst,  ,Nils Lutz,£10K,2.38,82,Austrian Regional League Central,9.94,7.64,0.09,,0.18,0,0%,0,10.9km,,51.17,42.52,3.96,2.76,4.05,0.37,0.55,0,0.92,1.93,1.29,23.28,1.2,1.1,0.55,77%,1.01,92%,83%,2.67,0.64,0.09,1.2,0.46
,  ,Hermann Kabeya,£65K  £200K,1,82,Vanarama National League North,,,0,,0,0,,0,0.0km,,20,14.31,0,0,0,0,0.5,0.06,,0,,0,0,0,0,,2.06,94%,72%,0,0,,,
,  ,Sebastian Krawczyk,£1.5K  £5K,2.18,82,Polish Second Division,8.98,6.33,0.96,,0.06,0,0%,0,10.0km,,56.3,48.23,4.82,1.75,3.62,0.24,0.66,0.18,0.36,1.45,1.09,18.27,0.24,1.09,0.24,70%,1.02,81%,86%,2.35,0.18,0.06,0.24,0.06
,  ,Balázs Mészáros,£35K  £100K,1.19,82,Hungarian Division II,7.93,5.26,0.29,,0.22,0,0%,0,9.5km,,47.45,37.72,4.18,2.96,2.52,0,0.29,0,0.65,1.15,1.44,9.09,0.22,0.5,1.51,66%,0.65,90%,79%,1.51,0.14,0.07,0.22,0.07
,  ,Fares Micaelli,£16K  £50K,1,82,French Regional 1  Auvergne Rhône Alpes  Group C,,,0,,0,0,,0,0.0km,,20,14.91,0,0,0,0,0.18,0,,0,,0,0,0,0,,1.64,100%,75%,0,0,,,0.18
,  ,Mohamed Sy,£35K  £100K,0.83,81,Senegalese Ligue 1,1.5,1.17,0.25,,0,0,,0,1.8km,,25.75,19.33,1,0.67,0.75,0,0.42,0,,0.08,0.17,1.42,0,0.17,0.25,78%,1.58,95%,75%,0.58,0,,,0.08
Wnt,  ,Jeremias Ranta,£18K  £50K,2.91,81,Finnish Third Division,8.21,5.86,0.68,25%,0.56,0.03,6%,1,11.1km,0.12,53.1,46.19,5.24,2.57,3.38,0.56,1.86,0.68,0.37,1.61,1.39,24.32,0.28,1.3,0.12,71%,0.93,71%,87%,3.16,0.22,0.12,0.28,0.06
Inj,  ,Mladen Dukić,£60K  £170K,1.17,81,Montenegrin First League,0.92,0.42,0,,0.08,0,0%,0,2.0km,0.08,25.25,20.25,1.58,0.83,0.5,0,0.25,0.08,,0.25,0.5,3.17,0.17,0.58,0,45%,1.33,84%,80%,1.33,0,,0.17,
Loa,  ,Steven Auerochs,£3K  £8K,2.07,81,Austrian Regional League Central,7.7,5.59,1.38,,0.07,0,0%,0,10.2km,,49.54,41.84,4.65,3.27,2.91,0.22,0.87,0.15,0.51,1.09,2.25,15.69,0.29,0.87,0.87,73%,1.16,94%,84%,2.25,0.22,,0.29,0.07
,  ,Steve Gormley,£2.5K  £8K,2.71,81,cinch League 2,8.93,5.25,0.72,,0.24,0,0%,0,10.8km,0.06,52.82,44.79,5.01,2.84,2.84,0.12,0.54,0.06,0.54,1.63,1.45,23.48,0.42,0.97,0.66,59%,0.72,67%,85%,2.54,0.3,0.06,0.42,0.06
Loa,  ,Darius Coşneac,£100K  £325K,1,81,Romanian First League,8.42,6.78,0.82,,0,0,,0,11.6km,,52.36,43.48,6.31,5.61,4.09,0,,,0.35,1.87,1.05,10.52,0.35,1.29,1.4,81%,1.05,75%,83%,3.27,0.23,,0.35,
,  ,Cornelius Vedahl Haugen,£12K  £35K,1.04,81,Norwegian Second Division Group 2,1.97,1.37,0.34,,0,0,,0,2.3km,,27.84,21.15,0.95,0.8,1.37,0,0.72,0.08,0.15,0.38,0.34,4.63,0.04,0.34,0.23,69%,1.86,96%,76%,0.87,0.08,0.04,0.04,0.08
Yth,  ,Erkin Knyazev,£300K  £900K,0.67,81,Austrian Youth Academy League,4.81,2.66,0.31,33%,0.31,0.1,33%,1,11.4km,0.2,51.09,44.23,8.29,7.17,4.2,0.2,0.51,0.2,0.61,2.05,1.23,29.69,1.33,2.25,0.82,55%,1.43,64%,87%,9.32,0,0.41,1.33,
,  ,Ármin Horváth,£6K  £18K,2,81,Hungarian Division III,8.48,5.67,0.78,,0.07,0,0%,0,11.0km,0.33,50.48,41.28,4.37,2.8,4.5,0,0.91,0.13,0.59,2.09,1.24,25.76,0.46,1.37,0.91,67%,0.91,61%,82%,3.13,0.33,,0.46,
,  ,Ashenafi Adugna,£0,1.56,81,Swedish First Division Elite,9.85,7.44,1.15,33%,0.11,0.04,33%,1,10.9km,0.04,50.67,42.3,4.37,5.56,3.63,0.04,0.37,0.07,0.48,1.7,1.63,12.04,0.33,1.15,0.67,76%,1.07,85%,83%,2.78,0.22,0.07,0.33,
,  ,Dario Benedettini,£1K  £2.5K,0.5,81,Italian Serie C/C,5.68,3.86,0.41,,0,0,,0,6.6km,,38.35,31.96,2.33,2.54,2.03,0.1,0.3,0,0.41,0.81,0.71,6.49,0.2,0.61,1.12,68%,1.72,100%,83%,1.52,0.1,,0.2,0.2
,  ,David Mica,£35K  £100K,1,81,Czech Third Division MSFL,,,0,,0,0,,0,0.0km,,21.83,15.18,0,0,0,0,0.3,0,,0,,0,0,0,0,,2.08,91%,70%,0,0,,,
,  ,Andrey Bulgakov,£40K  £130K,2,81,Russian Second Division A Gold,8.12,5.94,1.25,,0.19,0,0%,0,10.2km,,50,41.81,4.12,2.75,4,0.25,0.75,0.12,0.31,1.12,0.81,20.56,0.19,1.19,0.88,73%,1.31,88%,84%,2.81,0.31,,0.19,0.06
,  ,Mateusz Jaroszek,£500  £2K,1.19,81,Polish First Division,6.06,4.88,0.38,15%,2,0.31,16%,5,10.5km,0.5,42.69,35.62,9.25,13.62,4.25,0,0.12,0,0.75,0.94,2.31,8.56,0.69,1.31,1.12,80%,2,86%,83%,5.81,0,0.12,0.69,0.06
Inj,  ,Mazinho,£35K  £110K,1.42,81,Czech Second Division,8.07,5.79,0.96,,0,0,,0,11.2km,0.09,50.26,40.44,3.77,3.51,4.82,0.18,0.35,0.18,0.44,1.67,1.49,17.28,0.35,1.32,0.53,72%,1.05,71%,80%,2.89,0.26,,0.35,0.09
,  ,Ricard Gusó,£0,1,81,Spanish Primera Autonómica Navarra,,,0,,0,0,,0,0.0km,,20,14.09,0,0,0,0,0.36,0.18,,0,,0,0,0,0,,1.18,93%,70%,0,0,,,
Inj,  ,Andrea La Piana,£14K  £45K,1,81,Italian Serie C/B,,,0,,0,0,,0,0.0km,,20,13.1,0,0,0,0,0.2,0,,0,,0,0,0,0,,1.6,100%,66%,0,0,,,0.1
,  ,Wilfried Wolf,£8K  £22K,1.07,81,Austrian First Division,2.01,1.46,0.07,,0,0,,0,2.2km,,28.59,23.11,0.69,0.97,0.62,0,0.49,0.07,0.21,0.21,0.35,3.82,0.14,0.35,0.28,72%,1.94,97%,81%,1.39,0.21,,0.14,0.21
,  ,Mirsad Dervišević,£35K  £100K,2.45,81,Czech Third Division CFL B,9.45,6.55,1.36,,0,0,,0,10.8km,0.09,50.45,42.36,4.36,3.64,4.09,0.27,1.18,0.45,0.36,1.18,1.18,16.45,0.27,1,0.18,69%,0.73,67%,84%,3.36,0,,0.27,
,  ,Nikita Shikavka,£5K  £16K,1.16,81,Belarusian Highest League,9.1,6.69,1.01,,0,0,,0,10.7km,,51.89,43.69,3.62,2.97,3.67,0.15,0.4,0.1,0.35,1.46,1.16,12.92,0.15,1.11,0.2,73%,0.8,62%,84%,3.12,0.05,,0.15,
,  ,Nelson Walraevens,£0,1.31,80,Belgian Second Amateur Division ACFF C,8.44,5.69,1.25,,0,0,,0,9.9km,0.06,50,38.56,2.62,2.81,3.31,0.38,1.38,0.19,0.31,1.75,0.88,14.94,0.31,1.88,0.75,67%,1.62,81%,77%,3.12,0.31,,0.31,
,  ,Emircan Acar,£20K  £60K,1.33,80,Turkish 2. League White Group,0.98,0.44,0.09,,0,0,,0,1.4km,,23.52,16.24,0.62,0.27,0.71,0,0.71,0.09,0.09,0.36,0.27,2.49,0.09,0,0.09,45%,1.78,91%,69%,0.09,0,,0.09,
,  ,Ruslan Popov,£35K  £100K,2.33,80,Russian Second Division B  Group 4,8.42,5.17,1,,0.08,0,0%,0,10.5km,,50,40.25,4.5,2.5,1.42,0.17,1.08,0.25,0.33,1.42,1.17,22.5,0.08,0.83,0.92,61%,0.83,91%,81%,2.5,0.17,,0.08,0.08
,  ,Joan Piñero,£1.5K  £4K,1.09,80,Spanish Federation First Division A,9.73,6,0.91,,0.36,0,0%,0,10.7km,0.09,52.64,44.64,4.91,3.91,3.64,0.18,0.55,0,0.27,1.73,1.55,12.55,0.18,1.27,0.82,62%,1.09,80%,85%,3.64,0.36,0.09,0.18,
Wnt,  ,Unnar Stefán Ljubicic,£0,1.58,80,Icelandic First Division,9.39,6.81,1.19,,0.06,0,0%,0,10.7km,,51.23,42.97,4.16,2.52,3.84,0.03,0.29,0.03,0.48,1.65,1.58,29.65,0.45,1.29,1.26,73%,0.81,56%,84%,3.1,0.16,0.23,0.45,0.19
,  ,Asier Cuenca,£18K  £55K,1,80,Spanish Federation Second Group 1,,,0,,0,0,,0,0.0km,,21.78,15.54,0,0,0,0,0.3,0,,0,,0,0,0,0,,1.68,89%,71%,0,0,,,0.4
,  ,Marvin Baltensberger,£0,0.67,80,Swiss Challenge League,9.21,7.31,1.04,,0,0,,0,10.9km,0.09,52.41,42.06,4.46,4.46,3.8,0.09,0.28,0,0.85,1.52,1.14,13.29,0.19,0.76,0.47,79%,0.76,80%,80%,3.04,0,,0.19,
Rst,  ,Sebastian Szymczak,£30K  £95K,1,80,Polish Fourth Division,,,0,,0,0,,0,0.0km,,20,14.67,0,0,0,0,0.17,0.08,,0,,0,0,0,0,,1.58,95%,73%,0,0,,,
Inj,  ,Kim Visuri,£50K  £150K,1.64,80,Finnish First Division Championship,8.76,6.28,0.68,100%,0.15,0.15,100%,3,10.8km,0.15,52.25,44.9,4.96,3.21,3.6,0.15,0.58,0.1,0.49,1.75,1.41,14.94,0.49,1.26,0.58,72%,1.17,92%,86%,3.36,0.29,,0.49,
,  ,Dmitry Akhmetzyanov,£35K  £110K,1.21,80,Russian First Division,8.22,6,0.44,,0.28,0,0%,0,10.9km,,56.58,45.25,4.77,4.11,3.28,0.06,0.5,0.06,0.61,1.05,2.22,16.49,0.28,1.17,1.28,73%,1.5,96%,80%,3.66,0.39,0.06,0.28,
,  ,Andrey Vangelov,£8K  £26K,2.44,80,Bulgarian Third League NorthEast,7.88,6.31,0.75,,0,0,,0,11.7km,,51.38,41.88,4.25,3.19,3.12,0.12,0.62,0.19,0.69,1.38,1.38,17.62,0.19,0.94,1.38,80%,0.69,65%,82%,3.31,0.19,0.06,0.19,
,  ,Berkay Turan,£16K  £50K,1.07,80,Hungarian Division II,6.29,4.71,0.71,,0.14,0,0%,0,8.2km,0.07,45.43,39.29,3.79,3.43,3.36,0.07,0.21,0,0.14,0.79,0.86,11.36,0.21,0.79,0.86,75%,1.43,87%,86%,2.57,0.14,0.07,0.21,
,  ,Yoan Morisod,£16K  £45K,0.65,80,Swiss Promotion League,9.06,6.47,1.11,,0.06,0,0%,0,10.5km,,53.82,48.02,5.12,2.71,3.51,0.12,0.31,0.06,0.74,1.23,1.05,19.66,0.25,0.74,2.47,71%,0.74,80%,89%,2.84,0.25,,0.25,
,  ,Eugene Emmanuel,£28K  £85K,1,80,Nigerian Second Division A1,,,0,,0,0,,0,0.0km,,20,14.35,0,0,0,0,0.41,0.06,,0,,0,0,0,0,,1.71,97%,72%,0,0,,,0.06
,  ,Mohammad Soltanpour,£26K  £80K,1,80,Iraqi Premier League,,,0,,0,0,,0,0.0km,,20,14.64,0,0,0,0,0.43,0.07,,0,,0,0,0,0,,1.86,100%,73%,0,0,,,0.14
,  ,Niccolò Ricchiuti,£2K  £6K,1.15,80,Portuguese Second League,8.69,6.08,0.62,,0.23,0,0%,0,10.6km,,51.38,40.23,6.38,3.54,3.38,0,0.46,0.08,1,2,1.77,12,0.23,0.85,0.77,70%,1.08,93%,78%,2.85,0.31,0.08,0.23,
,  ,Jules Krott,£0,1.23,80,Belgian First National Amateur Division,9.77,7.46,1.77,,0.08,0,0%,0,10.8km,0.08,52.38,43,4.46,3,2.92,0.31,0.85,0.23,0.15,1.31,1.54,16.31,0.08,1.15,0.77,76%,0.92,75%,82%,2.77,0.08,0.08,0.08,0.08
,  ,Anthony Quadri,£3.5K  £12K,1,80,Nigerian Premier League,,,0,,0,0,,0,0.0km,,20,13.4,0,0,0,0,0.5,0.1,,0,,0,0,0,0,,2,100%,67%,0,0,,,0.1
Wnt,  ,Ari Sinervo,£60K  £180K,0.82,80,Finnish Premier League,9.34,5.8,1.37,,0,0,,0,11.1km,0.05,56.26,48.23,5.38,5.19,2.83,0.09,0.66,0.14,0.57,1.7,1.6,9.67,0.28,0.9,0.47,62%,0.94,95%,86%,2.22,0.09,,0.28,
,  ,Francesco D'Agostino,£0,1,80,Italian Serie C/C,,,0,,0,0,,0,0.0km,,21.5,14.36,0,0,0,0,0.59,0.1,,0,,0,0,0,0,,1.95,100%,67%,0,0,,,
,  ,Pascal Raynal,£35K  £110K,1.83,80,French National 2  C,6.58,5.33,0.75,,0.08,0,0%,0,7.8km,,40.25,34.33,3.5,2.33,2.75,0.08,0.67,0.08,0.5,0.83,1,14.42,0.25,0.67,0.67,81%,1.33,84%,85%,2.17,0.25,0.17,0.25,0.08
,  ,Ivan Chunchukov,£12K  £35K,1.82,80,Bulgarian Second League,8.24,5.59,0.82,,0,0,,0,9.1km,0.06,47.06,36.94,4.29,2.47,2.53,0.06,0.94,0.06,0.47,0.94,1.29,18.65,0.41,0.94,0.94,68%,0.88,68%,79%,2.29,0.12,0.06,0.41,0.18
,  ,Alexandr Burnos,£2.5K  £7K,1.75,80,Belarusian First League,7.87,5.75,1.03,,0.25,0,0%,0,9.2km,0.05,47.9,37.77,3.69,3.2,3.64,0.84,1.97,0.44,0.2,1.52,1.18,16.03,0.3,1.48,0.34,73%,1.82,95%,79%,2.9,0.3,0.1,0.3,
,  ,Connor Robertson,£2K  £6K,1.39,80,cinch League 2,8.53,5.95,1.29,,0.11,0,0%,0,10.9km,0.06,52.52,40.74,4.43,3.98,3.42,0.28,0.67,0.17,0.45,1.51,1.29,16.83,0.39,1.35,1.35,70%,1.12,77%,78%,2.64,0.28,0.11,0.39,0.06
,  ,Kristinn Þór Viðarsson,£14K  £45K,2.04,80,Icelandic First Division,8.98,6.16,1.04,,0.21,0,0%,0,10.8km,0.11,51.53,42.58,4.58,3.18,3.11,0.21,0.64,0.25,0.57,1.47,1.25,24.58,0.25,1.29,1.57,69%,1.15,84%,83%,3.44,0.21,0.14,0.25,0.04
,  ,Vladimir Capanda,£22K  £65K,1,80,Angolan Championship,,,0,,0,0,,0,0.0km,,20,13.73,0,0,0,0,0.36,0.18,,0,,0,0,0,0,,1.73,100%,69%,0,0,,,
Inj,  ,Adnan Jovic,£40K  £130K,1,80,Swiss Second League Interregio Gr 3,,,0,,0,0,,0,0.0km,,20,13.14,0,0,0,0,0.14,0.07,,0,,0,0,0,0,,2.21,91%,66%,0,0,,,0.07
,  ,Zafer Karabacak,£1K  £2.5K,1,79,Turkish 3. League Group 4,,,0,,0,0,,0,0.0km,,20.82,14.57,0,0,0,0,0.07,0,,0,,0,0,0,0,,1.73,96%,70%,0,0,,,
Loa,  ,Thorsten Clemens,£18K  £55K,2.67,79,Austrian 1. County Class (Vbg),9.57,5.74,1.09,,0.14,0,0%,0,10.9km,,56.83,44.73,4.58,2.74,3.08,0.41,1.37,0.14,0.48,1.64,1.16,17.71,0.27,1.5,0.27,60%,1.3,83%,79%,3.01,0.27,,0.27,
,  ,Piotr Sobolewski,£2K  £6K,2.14,79,Polish Second Division,8.69,7.09,0.99,,0.08,0,0%,0,9.9km,0.15,49.04,41.26,3.97,3.05,3.2,0,0.69,0.15,0.46,1.3,1.83,11.36,0.31,1.22,0.23,82%,1.37,95%,84%,2.75,0.31,,0.31,0.08
,  ,Ángel Sanz,£9K  £28K,1,79,Spanish Federation Second Group 3,,,0,,0,0,,0,0.0km,,20,14,0,0,0,0,0.55,0,,0,,0,0,0,0,,1.73,100%,70%,0,0,,,
,  ,Andriy Antonenko,£1.5K  £4K,1.25,79,Ukrainian First League,9.3,6.46,1.28,,0.07,0,0%,0,10.9km,,50.75,41.45,5.25,3.55,3.62,0.28,0.57,0.07,0.57,1.14,1.63,19.87,0.21,0.92,1.56,69%,0.78,79%,82%,3.9,0.07,,0.21,
,  ,Josip Durakovic,£14K  £45K,0.91,79,Italian Serie C/C,7.19,5.19,0.9,,0,0,,0,9.5km,0.1,43.45,35.06,3.1,2.8,3.4,0,0.2,0,0.5,1.1,0.7,11.49,0.5,0.6,0.6,72%,0.7,88%,81%,1.8,0,0.2,0.5,0.1
Wnt,  ,Stoycho Kotsinov,£7K  £22K,2.5,79,Bulgarian Third League NorthWest,8.48,6.02,0.76,,0,0,,0,9.8km,,54.63,47.84,4.33,2.04,3.82,0.51,1.19,0.17,0.59,1.87,1.1,25.28,0.17,1.02,0.68,71%,1.02,100%,88%,2.46,0.17,,0.17,0.08
,  ,Alexey Pogonin,£20K  £60K,0.6,79,Russian Second Division A Gold,7.75,4.48,1.22,,0.08,0,0%,0,10.6km,,50.4,41.35,4.71,3.72,2.96,0.15,0.15,0.08,0.3,0.68,1.67,12.24,0.15,0.91,0.23,58%,0.91,80%,82%,2.36,0.08,,0.15,0.08
U19,  ,Alessandro Page,£60K  £180K,2.67,79,Swiss First League Classic Group 3,8.39,5.56,1.5,,0.09,0,0%,0,10.7km,,51.32,41.33,4.59,2.91,2.91,0.35,1.24,0.26,0.44,1.24,1.06,21.2,0.35,1.5,0.26,66%,1.32,88%,81%,3.18,0.18,0.09,0.35,
,  ,Sergey Kasjanov,£22K  £65K,2.35,79,Russian Second Division A Gold,7.82,4.98,1.18,,0.12,0,0%,0,10.5km,,50.24,43.25,4.27,2.43,3.55,0.12,0.89,0.18,0.36,1.42,1.24,20.74,0.18,1.13,0.53,64%,1.13,73%,86%,3.14,0.12,0.06,0.18,0.06
,  ,Dmytro Poliakov,£3K  £9K,1.69,79,Ukrainian First League,8.71,5.5,1.34,,0.13,0,0%,0,10.8km,,55.42,44.36,5.03,3.42,3.69,0.27,0.67,0.13,0.6,1.61,1.47,15.48,0.2,0.94,0.27,63%,0.8,75%,80%,2.88,0.2,,0.2,0.07
,  ,Luís Duarte,£3.5K  £10K,1.6,79,3. Liga,8.72,5.89,0.38,,0.15,0,0%,0,10.6km,,50.59,43.16,4.59,3.67,3.98,0.08,0.31,0.08,0.69,1.76,1.15,13.85,0.77,1.22,0.61,68%,1.3,89%,85%,2.83,0.46,0.08,0.77,
,  ,Andrey Kabulov,£30K  £95K,1.94,79,Russian Second Division B  Group 1,9.25,6.5,0.94,,0.19,0,0%,0,11.3km,,52.56,44.44,4.69,2,4,0.56,1.25,0.25,0.38,1.5,1.25,18.94,0.19,1.38,0.88,70%,1.12,72%,85%,3.06,0.25,0.12,0.19,
,  ,Robin Jansen,£0,0.88,79,Belgian Third Amateur Division VV A,8.71,6.32,1.05,,0.14,0,0%,0,10.9km,0.07,51.04,43.03,4.28,3.37,3.72,0.14,0.42,0,0.7,1.05,1.68,25.62,0.28,1.47,2.11,73%,1.33,76%,84%,3.58,0.42,,0.28,
,  ,Axel SaintOmar,£40K  £120K,1.09,79,French National 2  B,2.45,2.25,0.39,,0,0,,0,3.2km,,31.34,24.09,1.27,0.88,0.88,0.1,0.59,0.2,0.1,0.29,0.29,5.09,0,0.2,0.2,92%,1.86,100%,77%,0.69,0,,,0.1
,  ,Rajmund Ludasi,£4.5K  £14K,1.13,79,Hungarian Division III  Northwest,8.16,6.14,0.49,,0.21,0,0%,0,9.1km,,48.35,38.86,4.33,3.42,3,0.28,0.56,0,0.7,1.26,1.33,15.14,0.56,0.42,1.47,75%,0.7,91%,80%,2.23,0.21,,0.56,0.07
,  ,Geslin Tshimanga,£4.5K  £14K,1.57,79,Portuguese Third Division,7.67,5.16,0.84,,0,0,,0,11.2km,0.35,50.65,42.63,4.33,3.28,3.42,0.28,0.63,0.14,0.21,1.4,1.67,14.23,0.28,1.19,0.35,67%,0.91,72%,84%,3.42,0,0.07,0.28,0.21
